Country,Area,Protected Area (%),GDP,Continent
Mauritania,1030700,0.621988214,1677.919253,Africa
Mauritius,2040,4.725388813,11203.54058,Africa
Malawi,118480,22.87604771,411.5523404,Africa
Malaysia,330345,19.11931656,11414.83766,Asia
North America,19820470,11.32493655,63181.79576,North America
Namibia,824290,37.89093103,4957.458006,Africa
Niger,1267000,17.31709252,554.6009687,Africa
Nigeria,923770,13.92958361,2229.858696,Africa
Nicaragua,130370,37.22586793,1912.903745,North America
Netherlands,41540,11.24373445,52447.83144,Europe
Norway,625217.1094,17.10649287,75419.63487,Europe
Nepal,147180,23.62604198,1071.050761,Asia
New Zealand,267710,32.54525586,42084.35337,Oceania
Oman,309500,2.572733181,15474.03248,Asia
Pakistan,796100,12.31458528,1284.702041,Asia
Panama,75420,20.89193998,15731.01603,North America
Peru,1285220,21.31417279,6977.695784,South America
Philippines,300000,15.31665932,3485.084218,Asia
Papua New Guinea,462840,3.065929904,2845.180186,Oceania
Poland,312680,39.65013953,15595.22703,Europe
Puerto Rico,8870,7.269164906,32873.71927,North America
Portugal,92225.5957,22.90118008,23145.04082,Europe
Paraguay,406751.9922,14.31473608,5414.799138,South America
Qatar,11610,13.22923543,64781.7332,Asia
Romania,238400,24.4618675,12919.52964,Europe
Russian Federation,17098250,9.726914815,11584.99538,Europe
Rwanda,26340,9.114089073,801.656187,Africa
South Asia,5135333.062,7.291752241,1959.917165,Asia
Saudi Arabia,2149690,4.760127141,23139.79866,Asia
Senegal,196710,25.3527743,1446.830965,Europe
Singapore,719.0000153,5.554559828,65233.28244,Asia
Solomon Islands,28900,2.210266123,2127.538508,Oceania
Indonesia,1904569,15,3893,Asia
Sierra Leone,72300,9.386319626,504.4625434,Africa
El Salvador,21040,8.776286672,4187.250031,North America
Serbia,88360,6.61310734,7402.354559,Europe
Sub-Saharan Africa (excluding high income),21751956,17.71597013,1573.013688,Africa
Sub-Saharan Africa,21754456,17.71524621,1585.436468,Africa
Sao Tome and Principe,960,29.25590983,1994.906467,Africa
Suriname,163820,14.52013879,6854.906561,South America
Slovak Republic,49030,37.63041334,19329.0968,Europe
Slovenia,20675,53.62296044,25739.24781,Europe
Sweden,447430,14.88202746,51610.06606,Europe
Eswatini,17360,4.233008206,3837.026994,Africa
Seychelles,460,42.09404595,17401.72151,Africa
Chad,1284000,20.3544358,709.5403101,Africa
East Asia & Pacific (IDA & IBRD countries),16152595,14.65167371,8308.334363,Asia
Europe & Central Asia (IDA & IBRD countries),23842881.88,9.03750654,8988.92805,Europe
Togo,56790,27.62124271,675.5422133,Africa
Thailand,513120,18.80917209,7808.192916,Asia
Tajikistan,141380,22.27866109,870.7875893,Asia
Timor-Leste,14870,13.05746648,1294.188934,Asia
South Asia (IDA & IBRD),5135333.062,7.291752241,1959.917165,Asia
Sub-Saharan Africa (IDA & IBRD countries),21754456,17.71524621,1585.436468,Africa
Trinidad and Tobago,5130,30.59281013,17276.46545,North America
Tunisia,163610,7.914677247,3317.541013,Africa
Turkey,785350,0.218488653,9042.492983,Asia
Tuvalu,30,1.951941156,4059.029996,Oceania
Tanzania,947300,38.14557627,1122.12181,Africa
Uganda,241550,16.06394963,776.7685759,Africa
Ukraine,603550,3.986753143,3659.031312,Europe
Uruguay,176220,3.446201923,16190.12696,South America
United States,9831510,12.99387202,65118.35833,North America
Uzbekistan,447400,3.375213715,1724.841134,Asia
St. Vincent and the Grenadines,390,22.41962222,7463.537831,North America
Vietnam,331230,7.576779875,2715.276036,Asia
Vanuatu,12190,4.200531868,3058.065675,Oceania
Samoa,2840,7.349585002,4315.920675,Oceania
South Africa,1219090,7.998164921,6001.400814,Africa
Zambia,752610,37.87001045,1291.343357,Africa
Zimbabwe,390760,27.21458518,1463.98591,Africa
